,epoch,loss,energy_mean,energy_std,CI,proposal_width,acceptance_rate,walltime
14,14,0.09848280251026154,2.006894826889038,0.002142825163900852,1.9999999999999933,0.6799058318138123,tensor(0.4988),0.38409499963745475
15,15,0.09421100467443466,2.008767604827881,0.0020790984854102135,1.9999999999999933,0.6954381465911865,tensor(0.5115),0.38377799978479743
16,16,0.09316205233335495,2.0070106983184814,0.0020330161787569523,1.9999999999999933,0.6865238547325134,tensor(0.4932),0.3973626997321844
17,17,0.08982976526021957,2.003608226776123,0.001997177954763174,1.9999999999999933,0.68906569480896,tensor(0.5012),0.37720249965786934
18,18,0.0841377004981041,2.005502462387085,0.0019244173308834434,1.9999999999999933,0.6693247556686401,tensor(0.4937),0.37292829994112253
19,19,0.08452043682336807,2.0065393447875977,0.0018973712576553226,1.9999999999999933,0.6857994794845581,tensor(0.5125),0.3950931001454592
20,20,0.07554509490728378,2.004948616027832,0.00179491494782269,1.9999999999999933,0.6815932393074036,tensor(0.5032),0.3641853001900017
21,21,0.07159611582756042,2.0077333450317383,0.001757213263772428,1.9999999999999933,0.66105717420578,tensor(0.4937),0.3810478998348117
22,22,0.07867595553398132,2.0026206970214844,0.0017581915017217398,1.9999999999999933,0.6685399413108826,tensor(0.4810),0.39418569998815656
23,23,0.073856420814991,2.004495143890381,0.0016923166112974286,1.9999999999999933,0.6818034648895264,tensor(0.4922),0.4350848998874426
24,24,0.06749280542135239,2.00498628616333,0.0016307509504258633,1.9999999999999933,0.6806473731994629,tensor(0.4958),0.3883938998915255
25,25,0.06572145968675613,2.0043296813964844,0.0015947738429531455,1.9999999999999933,0.6683160066604614,tensor(0.5037),0.3632271997630596
26,26,0.0612698532640934,2.0036940574645996,0.0015488234348595142,1.9999999999999933,0.6873446702957153,tensor(0.5000),0.39325400022789836
27,27,0.05984526872634888,2.0046818256378174,0.0015001329593360424,1.9999999999999933,0.7003519535064697,tensor(0.5164),0.3383490997366607
28,28,0.05556422472000122,2.0035057067871094,0.001457509701140225,1.9999999999999933,0.7083386778831482,tensor(0.5181),0.3613423998467624
29,29,0.053328655660152435,2.005457878112793,0.001408328302204609,1.9999999999999933,0.6927372217178345,tensor(0.4980),0.3706306000240147
30,30,0.05535067245364189,2.0019607543945312,0.0013991249725222588,1.9999999999999933,0.694796621799469,tensor(0.4985),0.37429780000820756
31,31,0.05007615685462952,2.0045924186706543,0.0013360092416405678,1.9999999999999933,0.6946333050727844,tensor(0.4893),0.3948399000801146
32,32,0.05018281936645508,2.003314256668091,0.0013108761049807072,1.9999999999999933,0.6769973635673523,tensor(0.4883),0.39815929997712374
33,33,0.04721922427415848,2.0056443214416504,0.0012713742908090353,1.9999999999999933,0.7020378708839417,tensor(0.5061),0.365911599714309
34,34,0.0444982573390007,2.0027871131896973,0.0012443008599802852,1.9999999999999933,0.6891077756881714,tensor(0.4944),0.3642381997779012
35,35,0.04385852813720703,2.0022928714752197,0.001223480561748147,1.9999999999999933,0.6899287700653076,tensor(0.5061),0.363270599860698
36,36,0.040012918412685394,2.000025749206543,0.0011851429007947445,1.9999999999999933,0.7051782011985779,tensor(0.5002),0.39834060007706285
37,37,0.03521124646067619,2.004084587097168,0.0011078872485086322,1.9999999999999933,0.7019147872924805,tensor(0.5220),0.36585270008072257
38,38,0.03615645691752434,2.0024166107177734,0.0010926015675067902,1.9999999999999933,0.709364116191864,tensor(0.5022),0.3310295999981463
39,39,0.035623617470264435,2.003012180328369,0.0010586708085611463,1.9999999999999933,0.6866843104362488,tensor(0.4973),0.5083077000454068
40,40,0.033744845539331436,2.0024254322052,0.0010593950282782316,1.9999999999999933,0.6801744103431702,tensor(0.4934),0.39713019970804453
41,41,0.028159305453300476,2.002739191055298,0.0010166217107325792,1.9999999999999933,0.7126006484031677,tensor(0.5154),0.36393219977617264
42,42,0.030476339161396027,1.9994210004806519,0.0010129126021638513,1.9999999999999933,0.7120912671089172,tensor(0.5000),0.3934742999263108
43,43,0.029786305502057076,2.000295877456665,0.0010073743760585785,1.9999999999999933,0.6935217976570129,tensor(0.5125),0.3672448000870645
44,44,0.02514011040329933,2.0008862018585205,0.0009869253262877464,1.9999999999999933,0.70151686668396,tensor(0.5017),0.41443180013448
45,45,0.02482655830681324,2.0009121894836426,0.0009306483552791178,1.9999999999999933,0.6790696978569031,tensor(0.4810),0.3909688997082412
46,46,0.02561601623892784,2.000366687774658,0.0009319072705693543,1.9999999999999933,0.694580078125,tensor(0.4985),0.3846973003819585
